"session","bird","n_resp_left","n_resp_right","n_reinf_left","n_reinf_right","dynamic_env"
"s01","p004",565,321,22,6,FALSE
"s02","p004",250,200,40,14,FALSE
"s03","p004",6,112,3,5,FALSE
"s04","p004",1,136,1,10,FALSE
"s05","p004",130,507,24,20,FALSE
"s06","p004",101,145,14,10,FALSE
"s07","p004",158,252,17,8,FALSE
"s08","p004",270,296,42,11,FALSE
"s09","p004",383,394,46,24,FALSE
"s10","p004",163,156,15,5,FALSE
"s11","p004",802,360,63,16,FALSE
"s12","p004",372,219,38,9,FALSE
"s13","p004",375,392,38,12,FALSE
"s14","p004",216,342,32,9,FALSE
"s15","p004",221,583,50,24,FALSE
"s16","p004",294,311,31,15,TRUE
"s17","p004",216,624,6,28,FALSE
"s18","p004",139,579,14,33,FALSE
"s19","p004",282,694,21,44,FALSE
"s20","p004",328,897,12,37,FALSE
"s21","p004",231,518,12,17,FALSE
"s22","p004",260,827,17,40,FALSE
"s23","p004",281,850,9,42,FALSE
"s24","p004",336,949,13,33,FALSE
"s25","p004",278,678,6,32,FALSE
"s26","p004",478,756,11,38,TRUE
"s27","p004",588,834,35,13,FALSE
"s28","p004",910,854,32,18,FALSE
"s29","p004",552,533,35,17,FALSE
"s30","p004",785,764,66,25,FALSE
"s31","p004",542,637,51,13,FALSE
"s32","p004",948,656,56,16,FALSE
"s33","p004",789,461,38,16,FALSE
"s34","p004",813,557,33,14,FALSE
"s35","p004",530,380,29,7,FALSE
"s36","p004",582,514,39,15,TRUE
"s37","p004",516,618,17,38,FALSE
"s38","p004",427,723,9,45,FALSE
"s39","p004",364,505,17,27,FALSE
"s40","p004",537,692,19,43,FALSE
"s41","p004",483,736,16,35,FALSE
"s42","p004",597,740,7,33,FALSE
"s43","p004",346,514,11,20,FALSE
"s44","p004",551,699,11,36,FALSE
"s45","p004",702,808,14,36,FALSE
"s46","p004",706,744,7,37,FALSE
"s47","p004",670,663,14,27,FALSE
"s48","p004",763,696,5,36,FALSE
"s49","p004",544,483,8,30,FALSE
"s50","p004",657,758,13,35,FALSE
"s51","p004",577,710,11,39,FALSE
"s52","p004",759,643,11,33,FALSE
"s53","p004",544,602,9,36,TRUE
"s54","p004",679,705,41,13,FALSE
"s55","p004",1221,967,50,13,FALSE
"s56","p004",1511,1054,63,28,FALSE
"s57","p004",1282,1057,55,26,FALSE
"s58","p004",1195,1065,51,23,FALSE
"s59","p004",824,1081,67,20,FALSE
"s60","p004",746,843,44,18,FALSE
"s61","p004",760,793,38,9,FALSE
"s62","p004",1067,962,50,15,FALSE
"s63","p004",744,722,46,14,FALSE
"s64","p004",1005,1164,59,14,FALSE
"s65","p004",1008,876,45,20,FALSE
"s66","p004",1019,986,57,18,FALSE
"s67","p004",693,793,38,17,FALSE
"s68","p004",918,912,58,13,FALSE
"s69","p004",924,1015,49,18,FALSE
"s70","p004",1262,949,48,20,FALSE
"s71","p004",966,626,28,14,FALSE
"s72","p004",966,972,54,23,FALSE
"s73","p004",931,824,44,17,FALSE
"s74","p004",1024,751,56,18,FALSE
"s75","p004",763,556,32,11,TRUE
"s76","p004",921,581,15,37,FALSE
"s77","p004",874,701,15,41,FALSE
"s78","p004",964,566,13,51,FALSE
"s79","p004",950,880,16,52,FALSE
"s80","p004",750,736,10,40,FALSE
"s81","p004",687,695,18,31,FALSE
"s82","p004",849,885,14,51,FALSE
"s83","p004",919,935,13,39,FALSE
"s84","p004",918,946,16,45,FALSE
"s85","p004",675,1186,11,55,FALSE
"s86","p004",545,740,10,27,FALSE
"s87","p004",731,848,13,34,FALSE
"s88","p004",881,889,11,39,FALSE
"s89","p004",782,820,13,41,FALSE
"s90","p004",670,645,14,36,FALSE
"s91","p004",406,512,14,31,FALSE
"s92","p004",156,378,11,28,FALSE
"s93","p004",288,1091,10,42,FALSE
"s94","p004",345,800,19,51,FALSE
"s95","p004",361,813,14,48,FALSE
"s96","p004",195,523,8,24,FALSE
"s97","p004",366,494,8,35,FALSE
"s98","p004",440,523,12,33,FALSE
"s99","p004",663,693,20,42,FALSE
"s100","p004",621,590,18,40,FALSE
"s101","p004",480,499,14,34,TRUE
"s102","p004",662,437,23,22,FALSE
"s103","p004",712,561,21,26,FALSE
"s104","p004",674,506,16,22,FALSE
"s105","p004",680,504,20,23,FALSE
"s106","p004",622,434,28,18,FALSE
"s107","p004",910,567,18,20,FALSE
"s108","p004",688,457,32,25,FALSE
"s109","p004",873,461,14,10,FALSE
"s110","p004",608,416,26,26,FALSE
"s111","p004",914,503,22,24,FALSE
"s112","p004",649,441,19,21,FALSE
"s113","p004",679,536,16,20,FALSE
"s114","p004",719,600,18,19,FALSE
"s115","p004",879,543,24,28,FALSE
"s116","p004",1394,1012,49,35,FALSE
"s117","p004",1243,1205,51,48,TRUE
"s118","p004",941,770,59,1,FALSE
"s119","p004",935,708,46,7,FALSE
"s120","p004",1482,974,87,3,FALSE
"s121","p004",1007,562,42,7,FALSE
"s122","p004",1280,609,55,5,FALSE
"s123","p004",1274,703,65,6,FALSE
"s124","p004",856,539,37,6,TRUE
"s125","p004",871,931,17,47,TRUE
"s126","p004",1434,1140,63,29,TRUE
"s127","p004",976,681,11,48,TRUE
"s128","p004",1450,1001,76,18,FALSE
"s129","p004",1102,780,65,7,TRUE
"s130","p004",888,753,8,51,TRUE
"s131","p004",539,453,46,5,TRUE
"s132","p004",748,978,36,57,TRUE
"s133","p004",659,392,47,2,FALSE
"s134","p004",985,385,64,3,FALSE
"s135","p004",905,489,58,5,TRUE
"s136","p004",1356,922,19,59,TRUE
"s137","p004",747,392,45,6,TRUE
"s138","p004",741,506,22,25,FALSE
"s139","p004",1394,1362,40,57,FALSE
"s140","p004",1274,1142,33,59,TRUE
"s141","p004",1141,810,71,4,FALSE
"s142","p004",1121,510,75,5,TRUE
"s143","p004",770,1211,5,68,TRUE
"s144","p004",821,419,39,7,TRUE
"s145","p004",764,922,12,58,FALSE
"s146","p004",1232,1252,13,64,FALSE
"s147","p004",1232,732,14,66,FALSE
"s148","p004",565,91,16,25,TRUE
"s149","p004",1195,167,56,20,TRUE
"s150","p004",755,226,7,37,TRUE
"s151","p004",833,27,64,2,TRUE
"s152","p004",1053,287,13,63,FALSE
"s153","p004",1026,495,23,60,FALSE
"s154","p004",842,222,11,46,TRUE
"s155","p004",1013,113,65,13,TRUE
"s156","p004",714,578,1,82,FALSE
"s157","p004",511,144,5,30,FALSE
"s158","p004",496,271,4,63,TRUE
"s159","p004",783,92,52,10,TRUE
"s160","p004",653,39,26,9,FALSE
"s161","p004",702,597,27,46,TRUE
"s162","p004",1550,255,55,21,TRUE
"s163","p004",837,602,5,48,FALSE
"s164","p004",350,671,1,53,TRUE
"s165","p004",1103,801,43,18,TRUE
"s166","p004",937,742,23,33,FALSE
"s167","p004",1287,816,21,43,TRUE
"s168","p004",1297,700,87,7,TRUE
"s169","p004",834,824,27,59,TRUE
"s170","p004",1543,834,73,13,FALSE
"s171","p004",862,711,59,7,TRUE
"s172","p004",556,746,7,49,TRUE
"s173","p004",1458,1177,52,33,TRUE
"s174","p004",1077,966,16,81,FALSE
"s175","p004",1280,1209,22,92,FALSE
"s176","p004",463,684,10,44,TRUE
"s177","p004",800,361,40,10,FALSE
"s178","p004",1113,679,67,9,TRUE
"s179","p004",978,685,8,37,FALSE
"s180","p004",524,718,8,46,TRUE
"s01","p054",236,277,33,17,FALSE
"s02","p054",511,329,51,19,FALSE
"s03","p054",271,247,26,14,FALSE
"s04","p054",338,183,28,9,FALSE
"s05","p054",143,206,17,10,FALSE
"s06","p054",294,311,39,20,FALSE
"s07","p054",309,110,25,7,FALSE
"s08","p054",655,198,72,26,FALSE
"s09","p054",306,118,25,10,FALSE
"s10","p054",462,147,44,14,FALSE
"s11","p054",355,206,32,11,FALSE
"s12","p054",722,269,66,23,FALSE
"s13","p054",642,188,44,16,FALSE
"s14","p054",734,287,55,21,FALSE
"s15","p054",409,164,31,9,FALSE
"s16","p054",574,287,37,18,TRUE
"s17","p054",383,349,12,36,FALSE
"s18","p054",342,322,10,35,FALSE
"s19","p054",214,357,3,28,FALSE
"s20","p054",343,422,18,40,FALSE
"s21","p054",383,412,19,34,FALSE
"s22","p054",383,426,15,46,FALSE
"s23","p054",77,130,3,20,FALSE
"s24","p054",281,437,4,34,FALSE
"s25","p054",275,315,14,37,FALSE
"s26","p054",365,464,12,36,TRUE
"s27","p054",662,350,49,12,FALSE
"s28","p054",768,374,51,16,FALSE
"s29","p054",728,348,44,15,FALSE
"s30","p054",428,198,24,5,FALSE
"s31","p054",875,378,48,21,FALSE
"s32","p054",359,247,28,9,FALSE
"s33","p054",1168,480,67,22,FALSE
"s34","p054",908,272,48,12,FALSE
"s35","p054",674,438,37,19,FALSE
"s36","p054",648,442,45,18,TRUE
"s37","p054",428,563,14,37,FALSE
"s38","p054",433,574,15,45,FALSE
"s39","p054",419,402,19,29,FALSE
"s40","p054",355,364,11,29,FALSE
"s41","p054",398,603,17,51,FALSE
"s42","p054",435,518,17,34,FALSE
"s43","p054",413,636,8,41,FALSE
"s44","p054",376,621,12,35,FALSE
"s45","p054",356,617,14,46,FALSE
"s46","p054",418,642,13,38,FALSE
"s47","p054",239,441,8,32,FALSE
"s48","p054",261,473,12,31,FALSE
"s49","p054",179,313,10,29,FALSE
"s50","p054",283,496,12,35,FALSE
"s51","p054",254,422,7,28,FALSE
"s52","p054",414,619,19,38,FALSE
"s53","p054",275,363,9,19,TRUE
"s54","p054",849,548,60,18,FALSE
"s55","p054",772,515,46,22,FALSE
"s56","p054",621,496,38,14,FALSE
"s57","p054",658,446,57,19,FALSE
"s58","p054",737,535,43,12,FALSE
"s59","p054",565,287,51,15,FALSE
"s60","p054",753,416,43,24,FALSE
"s61","p054",438,210,22,3,FALSE
"s62","p054",340,178,26,16,FALSE
"s63","p054",690,321,37,10,FALSE
"s64","p054",563,210,33,12,FALSE
"s65","p054",548,278,32,14,FALSE
"s66","p054",840,409,61,19,FALSE
"s67","p054",680,293,48,17,FALSE
"s68","p054",543,279,45,17,FALSE
"s69","p054",721,270,60,22,FALSE
"s70","p054",634,252,37,13,FALSE
"s71","p054",528,220,50,22,FALSE
"s72","p054",515,205,41,14,FALSE
"s73","p054",535,262,48,13,FALSE
"s74","p054",605,277,49,14,FALSE
"s75","p054",420,170,24,10,TRUE
"s76","p054",390,390,9,34,FALSE
"s77","p054",343,442,14,39,FALSE
"s78","p054",536,550,16,43,FALSE
"s79","p054",271,360,13,34,FALSE
"s80","p054",393,501,7,39,FALSE
"s81","p054",505,591,19,38,FALSE
"s82","p054",372,414,19,32,FALSE
"s83","p054",503,563,16,41,FALSE
"s84","p054",544,550,18,34,FALSE
"s85","p054",296,475,9,30,FALSE
"s86","p054",376,447,7,24,FALSE
"s87","p054",451,604,12,36,FALSE
"s88","p054",455,583,19,36,FALSE
"s89","p054",427,515,20,29,FALSE
"s90","p054",540,598,19,46,FALSE
"s91","p054",304,440,14,47,FALSE
"s92","p054",258,322,13,22,FALSE
"s93","p054",222,306,10,34,FALSE
"s94","p054",342,445,16,41,FALSE
"s95","p054",287,351,5,35,FALSE
"s96","p054",457,701,11,42,FALSE
"s97","p054",179,219,9,24,FALSE
"s98","p054",430,499,11,31,FALSE
"s99","p054",193,187,11,22,FALSE
"s100","p054",443,618,17,45,FALSE
"s101","p054",252,298,10,31,TRUE
"s102","p054",300,325,22,24,FALSE
"s103","p054",262,214,22,20,FALSE
"s104","p054",293,330,17,21,FALSE
"s105","p054",245,240,17,12,FALSE
"s106","p054",499,478,23,17,FALSE
"s107","p054",228,175,22,18,FALSE
"s108","p054",178,230,19,20,FALSE
"s109","p054",179,208,11,16,FALSE
"s110","p054",268,239,16,19,FALSE
"s111","p054",227,210,25,20,FALSE
"s112","p054",367,329,23,27,FALSE
"s113","p054",127,111,22,19,FALSE
"s114","p054",373,261,18,23,FALSE
"s115","p054",309,203,18,19,FALSE
"s116","p054",611,620,26,23,FALSE
"s117","p054",615,464,31,34,TRUE
"s118","p054",713,277,43,22,TRUE
"s119","p054",221,303,6,38,FALSE
"s120","p054",291,490,1,34,FALSE
"s121","p054",178,382,5,43,FALSE
"s122","p054",438,1063,10,83,FALSE
"s123","p054",233,735,7,60,FALSE
"s124","p054",196,707,3,47,TRUE
"s125","p054",607,179,74,4,TRUE
"s126","p054",520,811,4,74,TRUE
"s127","p054",662,315,65,10,TRUE
"s128","p054",367,525,7,41,FALSE
"s129","p054",292,563,8,52,FALSE
"s130","p054",527,724,21,70,TRUE
"s131","p054",496,350,42,19,TRUE
"s132","p054",557,771,14,58,TRUE
"s133","p054",851,505,56,18,FALSE
"s134","p054",678,514,62,19,TRUE
"s135","p054",309,724,8,61,TRUE
"s136","p054",766,657,68,19,FALSE
"s137","p054",512,287,50,11,FALSE
"s138","p054",881,522,65,20,FALSE
"s139","p054",588,344,40,13,FALSE
"s140","p054",664,258,48,6,FALSE
"s141","p054",1109,418,64,9,TRUE
"s142","p054",410,722,3,58,FALSE
"s143","p054",428,973,5,73,FALSE
"s144","p054",245,661,1,55,FALSE
"s145","p054",190,751,3,53,TRUE
"s146","p054",955,260,90,6,TRUE
"s147","p054",339,608,18,64,TRUE
"s148","p054",719,473,50,27,TRUE
"s149","p054",285,894,9,87,FALSE
"s150","p054",181,427,3,42,FALSE
"s151","p054",142,320,3,43,TRUE
"s152","p054",980,520,70,9,TRUE
"s153","p054",821,664,30,56,FALSE
"s154","p054",549,497,23,46,FALSE
"s155","p054",494,506,20,41,FALSE
"s156","p054",848,999,37,63,FALSE
"s157","p054",415,324,19,32,FALSE
"s158","p054",627,494,31,40,FALSE
"s159","p054",505,454,23,33,TRUE
"s160","p054",812,191,59,5,FALSE
"s161","p054",675,239,66,4,FALSE
"s162","p054",523,222,39,3,TRUE
"s163","p054",618,1045,27,62,FALSE
"s164","p054",353,579,16,41,TRUE
"s165","p054",856,341,49,5,FALSE
"s166","p054",693,159,54,3,FALSE
"s167","p054",825,203,63,6,TRUE
"s168","p054",221,706,9,44,TRUE
"s169","p054",595,534,46,19,TRUE
"s170","p054",421,1270,6,68,FALSE
"s171","p054",258,1050,1,79,TRUE
"s172","p054",630,578,46,19,FALSE
"s173","p054",600,417,43,16,FALSE
"s174","p054",845,554,58,16,TRUE
"s175","p054",241,396,16,32,FALSE
"s176","p054",561,1014,22,60,FALSE
"s177","p054",259,538,15,50,TRUE
"s178","p054",909,536,56,8,TRUE
"s179","p054",582,836,13,49,FALSE
"s180","p054",341,685,10,44,TRUE
"s01","p138",1507,32,36,6,FALSE
"s02","p138",289,24,30,4,FALSE
"s03","p138",277,108,31,13,FALSE
"s04","p138",648,111,64,12,FALSE
"s05","p138",350,290,43,16,FALSE
"s06","p138",383,327,46,21,FALSE
"s07","p138",197,202,30,14,FALSE
"s08","p138",101,102,16,10,FALSE
"s09","p138",236,221,52,22,FALSE
"s10","p138",111,52,26,6,FALSE
"s11","p138",387,211,55,19,FALSE
"s12","p138",285,181,34,9,FALSE
"s13","p138",329,118,41,11,FALSE
"s14","p138",350,139,36,11,FALSE
"s15","p138",476,237,42,21,FALSE
"s16","p138",342,201,30,12,TRUE
"s17","p138",197,251,10,26,FALSE
"s18","p138",154,334,12,35,FALSE
"s19","p138",213,530,8,26,FALSE
"s20","p138",361,737,20,46,FALSE
"s21","p138",283,351,9,14,FALSE
"s22","p138",274,459,8,36,FALSE
"s23","p138",406,458,18,34,FALSE
"s24","p138",205,389,5,26,FALSE
"s25","p138",400,411,6,32,FALSE
"s26","p138",311,293,15,36,TRUE
"s27","p138",659,222,40,17,FALSE
"s28","p138",795,321,61,23,FALSE
"s29","p138",526,283,48,21,FALSE
"s30","p138",244,105,19,7,FALSE
"s31","p138",185,105,21,7,FALSE
"s32","p138",230,215,30,12,FALSE
"s33","p138",292,273,55,24,FALSE
"s34","p138",345,218,46,16,FALSE
"s35","p138",322,155,38,12,FALSE
"s36","p138",233,141,26,10,TRUE
"s37","p138",250,297,14,29,FALSE
"s38","p138",183,391,18,37,FALSE
"s39","p138",96,333,6,35,FALSE
"s40","p138",152,436,10,31,FALSE
"s41","p138",162,556,15,37,FALSE
"s42","p138",260,314,16,34,FALSE
"s43","p138",188,402,15,34,FALSE
"s44","p138",176,323,13,21,FALSE
"s45","p138",125,180,8,21,FALSE
"s46","p138",228,364,20,35,FALSE
"s47","p138",110,182,5,18,FALSE
"s48","p138",125,480,13,38,FALSE
"s49","p138",215,382,13,23,FALSE
"s50","p138",188,460,14,40,FALSE
"s51","p138",186,371,12,26,FALSE
"s52","p138",280,586,11,36,FALSE
"s53","p138",191,396,12,31,TRUE
"s54","p138",743,495,66,21,FALSE
"s55","p138",354,116,32,6,FALSE
"s56","p138",540,423,44,16,FALSE
"s57","p138",572,334,46,15,FALSE
"s58","p138",778,357,66,18,FALSE
"s59","p138",296,166,40,15,FALSE
"s60","p138",320,175,52,26,FALSE
"s61","p138",176,91,20,9,FALSE
"s62","p138",237,131,39,14,FALSE
"s63","p138",232,116,43,12,FALSE
"s64","p138",550,248,61,22,FALSE
"s65","p138",286,188,42,16,FALSE
"s66","p138",180,72,23,11,FALSE
"s67","p138",341,197,43,13,FALSE
"s68","p138",607,199,45,16,FALSE
"s69","p138",546,233,62,20,FALSE
"s70","p138",145,82,23,14,FALSE
"s71","p138",293,35,41,10,FALSE
"s72","p138",304,52,24,8,FALSE
"s73","p138",435,48,36,10,FALSE
"s74","p138",501,8,56,5,FALSE
"s75","p138",341,260,30,7,TRUE
"s76","p138",289,427,16,40,FALSE
"s77","p138",297,332,15,33,FALSE
"s78","p138",235,271,10,32,FALSE
"s79","p138",271,222,16,38,FALSE
"s80","p138",169,151,7,25,FALSE
"s81","p138",188,257,17,31,FALSE
"s82","p138",174,248,10,31,FALSE
"s83","p138",292,269,17,34,FALSE
"s84","p138",157,245,5,22,FALSE
"s85","p138",177,688,7,38,FALSE
"s86","p138",171,388,7,26,FALSE
"s87","p138",180,454,11,38,FALSE
"s88","p138",130,314,13,30,FALSE
"s89","p138",135,362,11,33,FALSE
"s90","p138",105,269,6,26,FALSE
"s91","p138",81,72,17,23,FALSE
"s92","p138",92,118,13,34,FALSE
"s93","p138",193,126,12,32,FALSE
"s94","p138",130,205,10,19,FALSE
"s95","p138",235,441,11,31,FALSE
"s96","p138",163,297,15,30,FALSE
"s97","p138",162,328,12,45,FALSE
"s98","p138",97,128,8,22,FALSE
"s99","p138",139,199,16,30,FALSE
"s100","p138",140,252,12,35,FALSE
"s101","p138",76,113,12,28,TRUE
"s102","p138",136,154,15,17,FALSE
"s103","p138",196,257,24,22,FALSE
"s104","p138",110,120,15,20,FALSE
"s105","p138",127,217,17,18,FALSE
"s106","p138",169,216,18,17,FALSE
"s107","p138",144,213,20,16,FALSE
"s108","p138",108,121,29,16,FALSE
"s109","p138",177,124,15,16,FALSE
"s110","p138",161,62,15,17,FALSE
"s111","p138",250,144,15,13,FALSE
"s112","p138",227,102,28,17,FALSE
"s113","p138",135,125,15,12,FALSE
"s114","p138",127,227,16,14,FALSE
"s115","p138",117,302,16,19,FALSE
"s116","p138",239,538,39,43,FALSE
"s117","p138",274,488,37,59,TRUE
"s118","p138",109,217,34,19,FALSE
"s119","p138",403,113,43,15,FALSE
"s120","p138",322,83,40,14,FALSE
"s121","p138",338,140,60,27,FALSE
"s122","p138",506,325,47,13,FALSE
"s123","p138",889,493,62,19,TRUE
"s124","p138",300,689,8,69,TRUE
"s125","p138",421,388,63,23,TRUE
"s126","p138",229,317,28,35,FALSE
"s127","p138",251,481,22,38,FALSE
"s128","p138",235,500,13,51,TRUE
"s129","p138",398,358,48,16,FALSE
"s130","p138",357,216,49,10,TRUE
"s131","p138",181,292,13,33,FALSE
"s132","p138",143,270,13,40,FALSE
"s133","p138",399,483,22,47,FALSE
"s134","p138",536,548,25,53,TRUE
"s135","p138",419,136,48,4,TRUE
"s136","p138",290,408,7,57,FALSE
"s137","p138",156,589,2,50,FALSE
"s138","p138",179,306,6,36,TRUE
"s139","p138",428,110,35,16,FALSE
"s140","p138",388,108,33,14,TRUE
"s141","p138",232,68,7,28,FALSE
"s142","p138",314,399,6,71,TRUE
"s143","p138",743,94,58,6,TRUE
"s144","p138",254,143,4,34,FALSE
"s145","p138",199,443,5,67,TRUE
"s146","p138",769,326,50,27,FALSE
"s147","p138",838,152,43,18,TRUE
"s148","p138",354,382,10,67,TRUE
"s149","p138",496,292,60,21,TRUE
"s150","p138",97,280,3,48,FALSE
"s151","p138",90,288,3,55,TRUE
"s152","p138",274,80,57,5,TRUE
"s153","p138",189,149,4,47,FALSE
"s154","p138",83,215,1,34,FALSE
"s155","p138",2,529,0,46,TRUE
"s156","p138",584,144,68,8,FALSE
"s157","p138",429,135,41,9,FALSE
"s158","p138",296,51,53,4,FALSE
"s159","p138",689,36,62,8,FALSE
"s160","p138",496,4,57,1,TRUE
"s161","p138",335,141,10,24,TRUE
"s162","p138",342,49,38,10,FALSE
"s163","p138",367,27,62,7,TRUE
"s164","p138",491,156,24,31,FALSE
"s165","p138",498,291,14,28,FALSE
"s166","p138",528,447,16,52,FALSE
"s167","p138",298,347,18,51,TRUE
"s168","p138",430,6,59,0,FALSE
"s169","p138",421,10,61,2,TRUE
"s170","p138",514,293,25,53,FALSE
"s171","p138",352,373,28,58,TRUE
"s172","p138",228,125,38,19,FALSE
"s173","p138",414,189,35,24,TRUE
"s174","p138",141,222,7,31,TRUE
"s175","p138",268,55,47,4,TRUE
"s176","p138",389,501,19,64,FALSE
"s177","p138",303,409,15,48,TRUE
"s178","p138",717,90,75,8,TRUE
"s179","p138",392,376,14,44,FALSE
"s180","p138",507,193,13,39,TRUE
"s01","p510",597,308,55,16,FALSE
