"session","bird","n_resp_left","n_resp_right","n_reinf_left","n_reinf_right","dynamic_env"
"s02","p510",902,208,65,16,FALSE
"s03","p510",756,295,44,13,FALSE
"s04","p510",1172,444,59,13,FALSE
"s05","p510",1890,471,63,18,FALSE
"s06","p510",2069,707,70,24,FALSE
"s07","p510",1889,563,60,17,FALSE
"s08","p510",1089,425,25,15,FALSE
"s09","p510",1312,492,44,13,FALSE
"s10","p510",1502,556,57,10,FALSE
"s11","p510",1008,326,32,8,FALSE
"s12","p510",2006,984,64,21,FALSE
"s13","p510",1445,479,45,13,FALSE
"s14","p510",784,410,24,10,FALSE
"s15","p510",2071,639,65,19,FALSE
"s16","p510",1118,435,45,10,TRUE
"s17","p510",632,436,11,33,FALSE
"s18","p510",495,685,12,20,FALSE
"s19","p510",389,819,10,29,FALSE
"s20","p510",383,871,13,30,FALSE
"s21","p510",502,753,8,29,FALSE
"s22","p510",487,759,15,32,FALSE
"s23","p510",485,910,12,32,FALSE
"s24","p510",366,790,7,23,FALSE
"s25","p510",524,1309,14,50,FALSE
"s26","p510",534,945,12,31,TRUE
"s27","p510",1515,997,60,13,FALSE
"s28","p510",1396,656,55,11,FALSE
"s29","p510",1054,735,47,16,FALSE
"s30","p510",1413,1242,57,23,FALSE
"s31","p510",739,660,34,17,FALSE
"s32","p510",1623,1099,65,19,FALSE
"s33","p510",1899,1227,68,20,FALSE
"s34","p510",1371,1009,42,14,FALSE
"s35","p510",1311,986,44,11,FALSE
"s36","p510",1368,913,34,14,TRUE
"s37","p510",1003,1593,17,38,FALSE
"s38","p510",645,1033,11,34,FALSE
"s39","p510",489,1057,7,29,FALSE
"s40","p510",486,1245,11,35,FALSE
"s41","p510",604,1390,13,31,FALSE
"s42","p510",549,1133,7,50,FALSE
"s43","p510",440,1085,7,24,FALSE
"s44","p510",625,1201,15,39,FALSE
"s45","p510",751,1019,16,33,FALSE
"s46","p510",648,837,13,40,FALSE
"s47","p510",908,1228,10,37,FALSE
"s48","p510",1096,1252,18,42,FALSE
"s49","p510",1087,1322,23,42,FALSE
"s50","p510",1003,1272,13,40,FALSE
"s51","p510",907,1105,15,33,FALSE
"s52","p510",834,1127,15,43,FALSE
"s53","p510",604,1104,9,31,TRUE
"s54","p510",893,822,27,15,FALSE
"s55","p510",1954,1158,55,22,FALSE
"s56","p510",1338,830,40,16,FALSE
"s57","p510",1654,1136,52,26,FALSE
"s58","p510",816,595,29,4,FALSE
"s59","p510",1126,930,44,12,FALSE
"s60","p510",1178,806,49,8,FALSE
"s61","p510",854,686,52,12,FALSE
"s62","p510",965,985,35,14,FALSE
"s63","p510",1317,1119,51,17,FALSE
"s64","p510",1350,1094,58,26,FALSE
"s65","p510",1034,880,55,15,FALSE
"s66","p510",816,494,37,12,FALSE
"s67","p510",1173,774,52,18,FALSE
"s68","p510",898,612,34,13,FALSE
"s69","p510",623,448,33,11,FALSE
"s70","p510",692,449,37,16,FALSE
"s71","p510",991,625,50,20,FALSE
"s72","p510",1329,836,56,15,FALSE
"s73","p510",1060,663,47,16,FALSE
"s74","p510",102,59,12,4,FALSE
"s75","p510",643,315,26,6,TRUE
"s76","p510",591,640,9,17,FALSE
"s77","p510",767,844,22,37,FALSE
"s78","p510",649,734,11,35,FALSE
"s79","p510",830,835,15,28,FALSE
"s80","p510",621,687,15,27,FALSE
"s81","p510",624,741,15,36,FALSE
"s82","p510",513,683,8,28,FALSE
"s83","p510",621,907,20,43,FALSE
"s84","p510",693,1002,15,34,FALSE
"s85","p510",666,958,21,32,FALSE
"s86","p510",334,978,8,47,FALSE
"s87","p510",415,1114,9,41,FALSE
"s88","p510",387,955,13,27,FALSE
"s89","p510",393,1022,9,37,FALSE
"s90","p510",494,926,12,30,FALSE
"s91","p510",517,980,11,42,FALSE
"s92","p510",359,893,9,29,FALSE
"s93","p510",662,1266,12,53,FALSE
"s94","p510",477,940,12,34,FALSE
"s95","p510",464,920,15,32,FALSE
"s96","p510",513,1256,6,37,FALSE
"s97","p510",592,1231,13,47,FALSE
"s98","p510",463,889,13,34,FALSE
"s99","p510",664,1115,13,31,FALSE
"s100","p510",340,920,4,32,FALSE
"s101","p510",507,1075,16,35,TRUE
"s102","p510",598,1014,25,17,FALSE
"s103","p510",502,913,18,20,FALSE
"s104","p510",527,1055,22,24,FALSE
"s105","p510",677,962,18,22,FALSE
"s106","p510",638,887,19,24,FALSE
"s107","p510",614,788,24,19,FALSE
"s108","p510",471,877,17,16,FALSE
"s109","p510",588,830,22,23,FALSE
"s110","p510",610,869,15,21,FALSE
"s111","p510",696,892,19,21,FALSE
"s112","p510",724,929,24,23,FALSE
"s113","p510",793,774,19,16,FALSE
"s114","p510",616,733,18,13,FALSE
"s115","p510",587,749,19,16,FALSE
"s116","p510",1378,1342,29,39,FALSE
"s117","p510",926,1186,22,34,TRUE
"s118","p510",1509,1133,61,2,FALSE
"s119","p510",1248,617,61,7,FALSE
"s120","p510",1639,660,69,1,TRUE
"s121","p510",1189,1670,10,80,TRUE
"s122","p510",971,869,54,9,FALSE
"s123","p510",1645,1121,57,14,TRUE
"s124","p510",817,1124,16,34,TRUE
"s125","p510",916,595,57,5,TRUE
"s126","p510",730,1776,3,69,TRUE
"s127","p510",994,793,49,11,FALSE
"s128","p510",1449,1121,61,25,TRUE
"s129","p510",1264,1567,33,72,FALSE
"s130","p510",646,983,13,44,FALSE
"s131","p510",579,1092,11,47,FALSE
"s132","p510",567,1336,13,44,FALSE
"s133","p510",700,1275,12,42,FALSE
"s134","p510",683,1124,19,40,FALSE
"s135","p510",1076,927,51,17,TRUE
"s136","p510",977,1255,18,43,TRUE
"s137","p510",1162,777,64,4,TRUE
"s138","p510",524,882,6,48,FALSE
"s139","p510",630,1279,5,53,FALSE
"s140","p510",704,1517,11,58,TRUE
"s141","p510",1934,1168,70,4,FALSE
"s142","p510",1469,656,77,6,FALSE
"s143","p510",1241,610,61,8,FALSE
"s144","p510",1449,577,80,12,TRUE
"s145","p510",999,1280,24,59,FALSE
"s146","p510",1155,1731,25,52,TRUE
"s147","p510",1446,847,79,11,FALSE
"s148","p510",1225,286,75,5,FALSE
"s149","p510",1854,647,82,12,TRUE
"s150","p510",548,1199,8,62,TRUE
"s151","p510",1307,695,78,9,FALSE
"s152","p510",1326,589,75,9,TRUE
"s153","p510",798,1256,17,46,FALSE
"s154","p510",724,1241,17,52,FALSE
"s155","p510",835,1445,27,60,TRUE
"s156","p510",1710,1000,67,14,TRUE
"s157","p510",950,1402,14,58,FALSE
"s158","p510",434,835,8,42,TRUE
"s159","p510",961,473,72,8,TRUE
"s160","p510",318,667,11,43,TRUE
"s161","p510",686,298,38,20,FALSE
"s162","p510",1561,1412,44,35,FALSE
"s163","p510",1351,1258,51,28,TRUE
"s164","p510",1116,1988,18,68,FALSE
"s165","p510",925,1857,16,58,FALSE
"s166","p510",830,1931,17,79,TRUE
"s167","p510",1199,1178,31,21,FALSE
"s168","p510",1649,1308,62,32,FALSE
"s169","p510",1193,1063,44,23,TRUE
"s170","p510",679,1365,6,50,FALSE
"s171","p510",284,1239,6,54,FALSE
"s172","p510",770,1940,14,84,FALSE
"s173","p510",455,1729,8,88,FALSE
"s174","p510",796,1728,11,67,FALSE
"s175","p510",484,1478,4,70,FALSE
"s176","p510",416,1714,5,61,FALSE
"s177","p510",259,1229,5,48,TRUE
"s178","p510",1205,720,68,4,FALSE
"s179","p510",940,378,48,2,TRUE
"s180","p510",565,1341,12,40,TRUE
"s01","p530",92,2,5,1,FALSE
"s02","p530",599,140,41,8,FALSE
"s03","p530",372,115,23,9,FALSE
"s04","p530",753,55,50,10,FALSE
"s05","p530",851,36,34,11,FALSE
"s06","p530",770,129,21,13,FALSE
"s07","p530",747,71,46,10,FALSE
"s08","p530",1165,35,50,11,FALSE
"s09","p530",1223,8,46,4,FALSE
"s10","p530",1348,0,60,0,FALSE
"s11","p530",1304,2,45,2,FALSE
"s12","p530",2214,5,56,3,FALSE
"s13","p530",1448,1,30,1,FALSE
"s14","p530",1407,44,40,8,FALSE
"s15","p530",1514,34,50,6,FALSE
"s16","p530",1078,60,27,7,TRUE
"s17","p530",620,419,9,35,FALSE
"s18","p530",455,333,6,26,FALSE
"s19","p530",467,613,8,40,FALSE
"s20","p530",397,631,9,30,FALSE
"s21","p530",396,865,11,45,FALSE
"s22","p530",204,705,9,34,FALSE
"s23","p530",262,990,13,40,FALSE
"s24","p530",156,933,15,42,FALSE
"s25","p530",168,662,8,31,FALSE
"s26","p530",157,645,10,27,TRUE
"s27","p530",405,869,43,25,FALSE
"s28","p530",753,789,48,12,FALSE
"s29","p530",327,367,29,14,FALSE
"s30","p530",762,486,48,25,FALSE
"s31","p530",351,190,38,14,FALSE
"s32","p530",929,452,51,21,FALSE
"s33","p530",589,379,34,14,FALSE
"s34","p530",505,358,33,15,FALSE
"s35","p530",802,576,46,23,FALSE
"s36","p530",578,361,42,10,TRUE
"s37","p530",384,455,16,30,FALSE
"s38","p530",275,564,8,37,FALSE
"s39","p530",227,387,5,29,FALSE
"s40","p530",121,301,11,41,FALSE
"s41","p530",251,296,14,34,FALSE
"s42","p530",264,451,16,37,FALSE
"s43","p530",240,556,14,39,FALSE
"s44","p530",183,468,12,41,FALSE
"s45","p530",132,170,11,32,FALSE
"s46","p530",170,480,11,28,FALSE
"s47","p530",351,375,13,34,FALSE
"s48","p530",284,566,11,34,FALSE
"s49","p530",231,448,13,31,FALSE
"s50","p530",228,597,12,36,FALSE
"s51","p530",191,606,8,29,FALSE
"s52","p530",254,736,17,39,FALSE
"s53","p530",166,525,8,26,TRUE
"s54","p530",644,557,42,9,FALSE
"s55","p530",588,462,30,12,FALSE
"s56","p530",808,554,53,16,FALSE
"s57","p530",467,379,29,15,FALSE
"s58","p530",975,420,60,23,FALSE
"s59","p530",739,186,35,11,FALSE
"s60","p530",560,113,40,12,FALSE
"s61","p530",660,102,34,13,FALSE
"s62","p530",888,134,26,10,FALSE
"s63","p530",1116,182,45,16,FALSE
"s64","p530",740,127,30,9,FALSE
"s65","p530",742,81,37,11,FALSE
"s66","p530",1194,149,52,18,FALSE
"s67","p530",761,116,53,17,FALSE
"s68","p530",438,115,45,19,FALSE
"s69","p530",621,157,42,15,FALSE
"s70","p530",630,137,48,16,FALSE
"s71","p530",895,164,44,13,FALSE
"s72","p530",852,232,50,14,FALSE
"s73","p530",430,119,31,11,FALSE
"s74","p530",550,118,25,14,FALSE
"s75","p530",560,159,33,14,TRUE
"s76","p530",631,486,14,40,FALSE
"s77","p530",286,258,10,22,FALSE
"s78","p530",303,232,12,23,FALSE
"s79","p530",281,357,14,36,FALSE
"s80","p530",377,301,19,38,FALSE
"s81","p530",319,460,10,38,FALSE
"s82","p530",268,656,15,34,FALSE
"s83","p530",163,252,15,19,FALSE
"s84","p530",255,344,13,21,FALSE
"s85","p530",243,263,13,31,FALSE
"s86","p530",488,579,19,37,FALSE
"s87","p530",292,269,9,30,FALSE
"s88","p530",228,415,10,42,FALSE
"s89","p530",143,247,11,29,FALSE
"s90","p530",151,331,9,32,FALSE
"s91","p530",121,216,11,24,FALSE
"s92","p530",209,330,17,37,FALSE
"s93","p530",159,485,12,37,FALSE
"s94","p530",127,476,13,32,FALSE
"s95","p530",258,576,16,44,FALSE
"s96","p530",213,531,10,32,FALSE
"s97","p530",70,519,8,28,FALSE
"s98","p530",49,408,9,33,FALSE
"s99","p530",81,580,10,40,FALSE
"s100","p530",61,806,11,39,FALSE
"s101","p530",30,609,7,31,TRUE
"s102","p530",123,619,17,19,FALSE
"s103","p530",190,574,23,12,FALSE
"s104","p530",225,523,18,17,FALSE
"s105","p530",91,590,11,20,FALSE
"s106","p530",171,550,26,24,FALSE
"s107","p530",195,738,20,20,FALSE
"s108","p530",212,603,17,26,FALSE
"s109","p530",181,730,23,22,FALSE
"s110","p530",223,793,21,32,FALSE
"s111","p530",234,535,21,22,FALSE
"s112","p530",294,467,28,21,FALSE
"s113","p530",298,535,20,24,FALSE
"s114","p530",350,386,25,25,FALSE
"s115","p530",261,300,18,14,FALSE
"s116","p530",459,648,35,38,TRUE
"s117","p530",552,271,53,5,FALSE
"s118","p530",1337,100,74,5,TRUE
"s119","p530",338,757,2,61,TRUE
"s120","p530",444,233,48,15,TRUE
"s121","p530",207,561,16,48,TRUE
"s122","p530",738,343,56,7,FALSE
"s123","p530",1073,318,61,12,FALSE
"s124","p530",993,178,37,3,FALSE
"s125","p530",2074,136,84,10,TRUE
"s126","p530",723,828,23,75,FALSE
"s127","p530",567,1072,26,54,TRUE
"s128","p530",1070,257,51,3,FALSE
"s129","p530",1266,75,44,3,FALSE
"s130","p530",1620,43,64,6,TRUE
"s131","p530",652,662,23,49,FALSE
"s132","p530",636,720,28,52,TRUE
"s133","p530",954,516,45,20,FALSE
"s134","p530",1535,537,62,26,TRUE
"s135","p530",475,744,11,58,FALSE
"s136","p530",306,1074,10,56,TRUE
"s137","p530",1047,415,58,14,TRUE
"s138","p530",268,1121,6,68,TRUE
"s139","p530",1142,680,50,15,FALSE
"s140","p530",874,221,45,9,TRUE
"s141","p530",416,853,10,58,TRUE
"s142","p530",1014,112,60,3,TRUE
"s143","p530",344,1200,12,87,FALSE
"s144","p530",257,1181,10,55,TRUE
"s145","p530",1552,203,87,7,FALSE
"s146","p530",1082,84,61,9,TRUE
"s147","p530",158,1120,2,52,TRUE
"s148","p530",843,78,58,2,TRUE
"s149","p530",396,534,25,46,TRUE
"s150","p530",718,80,48,3,FALSE
"s151","p530",994,24,59,1,TRUE
"s152","p530",201,906,9,51,FALSE
"s153","p530",326,1252,15,52,FALSE
"s154","p530",431,1257,14,73,FALSE
"s155","p530",472,1516,17,80,TRUE
"s156","p530",588,292,37,18,TRUE
"s157","p530",373,829,10,55,TRUE
"s158","p530",1037,269,71,11,FALSE
"s159","p530",536,177,56,11,TRUE
"s160","p530",472,1096,19,58,TRUE
"s161","p530",402,101,39,5,FALSE
"s162","p530",1023,179,70,13,FALSE
"s163","p530",858,188,64,12,TRUE
"s164","p530",288,771,16,60,TRUE
"s165","p530",591,361,24,20,FALSE
"s166","p530",955,545,44,35,TRUE
"s167","p530",759,734,34,52,FALSE
"s168","p530",444,539,22,37,TRUE
"s169","p530",706,145,46,7,TRUE
"s170","p530",307,505,6,41,TRUE
"s171","p530",987,404,52,23,FALSE
"s172","p530",826,475,48,32,FALSE
"s173","p530",1201,324,55,20,FALSE
"s174","p530",1225,372,57,29,TRUE
"s175","p530",214,488,0,50,FALSE
"s176","p530",194,742,7,38,TRUE
"s177","p530",845,193,47,10,TRUE
"s178","p530",479,1070,16,64,FALSE
"s179","p530",365,677,20,48,FALSE
"s180","p530",267,407,14,40,TRUE
"s01","p736",216,153,19,8,FALSE
"s02","p736",605,44,31,3,FALSE
"s03","p736",672,70,27,5,FALSE
"s04","p736",1438,122,69,17,FALSE
"s05","p736",1632,323,59,19,FALSE
"s06","p736",1018,155,41,8,FALSE
"s07","p736",1413,407,47,19,FALSE
"s08","p736",1183,198,34,8,FALSE
"s09","p736",1185,205,45,18,FALSE
"s10","p736",930,165,28,9,FALSE
"s11","p736",1508,395,55,15,FALSE
"s12","p736",1097,332,43,21,FALSE
"s13","p736",1332,367,49,13,FALSE
"s14","p736",1285,454,46,17,FALSE
"s15","p736",1498,562,52,17,FALSE
"s16","p736",840,318,33,13,TRUE
"s17","p736",627,515,9,29,FALSE
"s18","p736",561,765,16,52,FALSE
"s19","p736",474,790,12,37,FALSE
"s20","p736",336,594,8,29,FALSE
"s21","p736",421,560,16,36,FALSE
"s22","p736",345,656,7,44,FALSE
"s23","p736",566,718,13,28,FALSE
"s24","p736",399,799,13,43,FALSE
"s25","p736",419,775,22,39,FALSE
"s26","p736",287,599,9,22,TRUE
"s27","p736",498,442,29,12,FALSE
"s28","p736",751,340,30,13,FALSE
"s29","p736",1148,507,54,13,FALSE
"s30","p736",1258,587,53,24,FALSE
"s31","p736",996,517,52,13,FALSE
"s32","p736",1281,622,65,23,FALSE
"s33","p736",1048,606,61,27,FALSE
"s34","p736",1063,558,60,20,FALSE
"s35","p736",1201,488,53,17,FALSE
"s36","p736",807,509,49,13,TRUE
"s37","p736",499,739,22,47,FALSE
"s38","p736",422,703,16,34,FALSE
"s39","p736",375,562,9,34,FALSE
"s40","p736",514,685,17,47,FALSE
"s41","p736",498,675,21,33,FALSE
"s42","p736",323,617,16,34,FALSE
"s43","p736",189,497,5,40,FALSE
"s44","p736",237,704,7,32,FALSE
"s45","p736",311,481,10,24,FALSE
"s46","p736",435,642,19,48,FALSE
"s47","p736",307,571,11,31,FALSE
"s48","p736",408,691,15,34,FALSE
"s49","p736",273,591,15,44,FALSE
"s50","p736",307,529,7,31,FALSE
"s51","p736",360,627,7,26,FALSE
"s52","p736",520,696,20,39,FALSE
"s53","p736",370,449,13,24,TRUE
"s54","p736",704,686,61,23,FALSE
"s55","p736",578,500,42,12,FALSE
"s56","p736",827,644,48,25,FALSE
"s57","p736",719,306,49,15,FALSE
"s58","p736",589,315,45,11,FALSE
"s59","p736",1005,447,58,19,FALSE
"s60","p736",461,278,25,9,FALSE
"s61","p736",603,440,45,21,FALSE
"s62","p736",463,318,26,15,FALSE
"s63","p736",420,356,33,12,FALSE
"s64","p736",649,219,37,11,FALSE
"s65","p736",702,340,36,19,FALSE
"s66","p736",846,320,45,6,FALSE
"s67","p736",625,326,34,10,FALSE
"s68","p736",930,506,54,19,FALSE
"s69","p736",713,386,45,12,FALSE
"s70","p736",1152,444,64,19,FALSE
"s71","p736",967,419,52,12,FALSE
"s72","p736",929,411,58,15,FALSE
"s73","p736",953,514,54,16,FALSE
"s74","p736",444,252,26,12,FALSE
"s75","p736",729,359,50,13,TRUE
"s76","p736",441,474,19,47,FALSE
"s77","p736",552,578,11,31,FALSE
"s78","p736",362,561,9,27,FALSE
"s79","p736",478,452,13,23,FALSE
"s80","p736",458,512,17,36,FALSE
"s81","p736",289,424,8,31,FALSE
"s82","p736",473,750,8,51,FALSE
"s83","p736",481,555,18,31,FALSE
"s84","p736",547,630,17,35,FALSE
"s85","p736",570,736,14,47,FALSE
"s86","p736",476,710,10,42,FALSE
"s87","p736",587,874,11,39,FALSE
"s88","p736",487,652,13,40,FALSE
"s89","p736",366,570,8,23,FALSE
"s90","p736",466,724,16,40,FALSE
"s91","p736",416,457,20,29,FALSE
"s92","p736",396,579,13,28,FALSE
"s93","p736",342,527,10,33,FALSE
"s94","p736",380,593,7,34,FALSE
"s95","p736",494,664,12,39,FALSE
"s96","p736",559,747,13,40,FALSE
"s97","p736",546,718,21,47,FALSE
"s98","p736",290,560,17,41,FALSE
"s99","p736",131,488,8,33,FALSE
"s100","p736",376,693,11,40,FALSE
"s101","p736",401,644,9,38,TRUE
"s102","p736",366,586,18,23,FALSE
"s103","p736",507,514,20,19,FALSE
"s104","p736",428,434,23,17,FALSE
"s105","p736",439,424,14,18,FALSE
"s106","p736",559,462,24,19,FALSE
"s107","p736",590,547,20,21,FALSE
"s108","p736",600,567,21,23,FALSE
"s109","p736",612,474,24,21,FALSE
"s110","p736",604,491,26,20,FALSE
"s111","p736",586,545,17,22,FALSE
"s112","p736",378,435,24,13,FALSE
"s113","p736",474,465,18,18,FALSE
"s114","p736",679,540,26,24,FALSE
"s115","p736",551,482,20,15,FALSE
"s116","p736",1059,792,36,46,TRUE
"s117","p736",1365,893,74,15,FALSE
"s118","p736",835,430,50,7,TRUE
"s119","p736",650,1169,12,76,FALSE
"s120","p736",482,1286,4,68,FALSE
"s121","p736",431,1170,13,67,TRUE
"s122","p736",1126,789,67,2,FALSE
"s123","p736",1127,213,47,2,TRUE
"s124","p736",975,794,42,39,TRUE
"s125","p736",1602,903,66,26,TRUE
"s126","p736",882,1124,10,73,TRUE
"s127","p736",1654,807,76,18,FALSE
"s128","p736",656,413,50,7,FALSE
"s129","p736",663,379,39,10,FALSE
"s130","p736",525,327,41,6,TRUE
"s131","p736",884,856,29,55,TRUE
"s132","p736",596,378,56,8,TRUE
"s133","p736",399,1693,2,87,TRUE
"s134","p736",598,591,42,6,FALSE
"s135","p736",972,324,43,5,TRUE
"s136","p736",627,984,16,56,FALSE
"s137","p736",441,1353,17,58,FALSE
"s138","p736",718,1317,30,69,TRUE
"s139","p736",987,657,43,16,TRUE
"s140","p736",683,1510,12,73,FALSE
"s141","p736",605,1383,8,62,FALSE
"s142","p736",215,1140,3,52,FALSE
"s143","p736",434,1579,11,81,TRUE
"s144","p736",1169,1016,74,18,TRUE
"s145","p736",410,1047,11,60,TRUE
"s146","p736",763,714,39,24,FALSE
"s147","p736",853,785,44,30,TRUE
"s148","p736",275,747,17,41,FALSE
"s149","p736",776,1118,31,52,TRUE
"s150","p736",905,605,42,19,TRUE
"s151","p736",447,1450,6,68,TRUE
"s152","p736",965,478,83,6,TRUE
"s153","p736",388,874,6,40,FALSE
"s154","p736",433,967,5,48,TRUE
"s155","p736",1211,637,69,7,FALSE
"s156","p736",1490,729,72,13,TRUE
"s157","p736",1283,1321,46,64,TRUE
"s158","p736",855,669,62,4,TRUE
"s159","p736",791,903,4,64,TRUE
"s160","p736",263,324,35,24,FALSE
"s161","p736",864,116,52,19,TRUE
"s162","p736",357,809,22,45,FALSE
"s163","p736",661,913,18,47,FALSE
"s164","p736",650,795,20,37,FALSE
"s165","p736",1206,1578,33,54,TRUE
"s166","p736",1108,699,63,3,FALSE
"s167","p736",1197,541,59,4,FALSE
"s168","p736",814,237,63,6,FALSE
"s169","p736",1605,550,78,6,TRUE
"s170","p736",1155,1365,25,76,TRUE
"s171","p736",1155,408,60,2,FALSE
"s172","p736",931,248,60,7,TRUE
"s173","p736",552,648,21,34,TRUE
"s174","p736",1147,404,81,8,TRUE
"s175","p736",700,923,18,50,FALSE
"s176","p736",560,1204,15,54,TRUE
"s177","p736",840,645,39,18,TRUE
"s178","p736",483,789,4,59,TRUE
"s179","p736",1545,635,81,8,FALSE
"s180","p736",1046,399,38,7,TRUE
